"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX"
"0","0","0","0","3.4460799572829828","3.4460799572829828","3.4460799572829828","0","0","0","3.4462317918698466","3.4462317918698466","3.4462317918698466","0","0","0","3.4463149226995795","3.4463149226995795","3.4463149226995795","0","0","0","3.4461768380463202","3.4461768380463202","3.4461768380463202","0","0","0","3.4462317918698466","3.4462317918698466","3.4462317918698466","0","0","0","3.4462821205025134","3.4462821205025134","3.4462821205025134"
"50","51","51","51","3.663056748540034","3.663056748540034","3.663056748540034","51","51","51","3.644391238070995","3.644391238070995","3.644391238070995","51","51","51","3.635805709972212","3.635805709972212","3.635805709972212","51","51","51","3.659340834851243","3.659340834851243","3.659340834851243","51","51","51","3.660523125580334","3.660523125580334","3.660523125580334","51","51","51","3.6646526702857614","3.6646526702857614","3.6646526702857614"
"100","102","102","102","3.1172894289587014","3.1172894289587014","3.1172894289587014","102","102","102","3.063624288773898","3.063624288773898","3.063624288773898","102","102","102","3.702266337170863","3.702266337170863","3.702266337170863","102","102","102","3.1433102131547583","3.1433102131547583","3.1433102131547583","102","102","102","3.1575009462881307","3.1575009462881307","3.1575009462881307","102","102","102","3.0767152610484003","3.0767152610484003","3.0767152610484003"
"150","153","153","153","3.451404805308667","3.451404805308667","3.451404805308667","153","153","153","2.8127485606156792","2.8127485606156792","2.8127485606156792","153","153","153","3.8647507266073986","3.8647507266073986","3.8647507266073986","153","153","153","2.7854336270171665","2.7854336270171665","2.7854336270171665","153","153","153","2.7420034876562","2.7420034876562","2.7420034876562","153","153","153","2.872931345001511","2.872931345001511","2.872931345001511"
"200","204","204","204","3.776919358077414","3.776919358077414","3.776919358077414","204","204","204","2.516491374184963","2.516491374184963","2.516491374184963","204","204","204","3.7235459150729286","3.7235459150729286","3.7235459150729286","204","204","204","2.878620005962445","2.878620005962445","2.878620005962445","204","204","204","2.7090500701557505","2.7090500701557505","2.7090500701557505","204","204","204","2.7386707174291094","2.7386707174291094","2.7386707174291094"
"250","255","255","255","3.668271552766422","3.668271552766422","3.668271552766422","255","255","255","2.5113153970740214","2.5113153970740214","2.5113153970740214","255","255","255","3.8822646644334546","3.8822646644334546","3.8822646644334546","255","255","255","2.7537673225034918","2.7537673225034918","2.7537673225034918","255","255","255","2.682303699241443","2.682303699241443","2.682303699241443","255","255","255","2.772338196851205","2.772338196851205","2.772338196851205"
"300","306","306","306","3.4401884545057975","3.4401884545057975","3.4401884545057975","306","306","306","2.5364996306303698","2.5364996306303698","2.5364996306303698","306","306","306","3.806097717015797","3.806097717015797","3.806097717015797","306","306","306","2.7409523192827487","2.7409523192827487","2.7409523192827487","306","306","306","2.401726669841722","2.401726669841722","2.401726669841722","306","306","306","2.6022393124838197","2.6022393124838197","2.6022393124838197"
"350","357","357","357","3.4921107412130623","3.4921107412130623","3.4921107412130623","357","357","357","2.3176515947619993","2.3176515947619993","2.3176515947619993","357","357","357","3.919702249720241","3.919702249720241","3.919702249720241","357","357","357","2.7153909515113384","2.7153909515113384","2.7153909515113384","357","357","357","2.3956680286955456","2.3956680286955456","2.3956680286955456","357","357","357","2.434341530859156","2.434341530859156","2.434341530859156"
"400","408","408","408","3.4529088905697125","3.4529088905697125","3.4529088905697125","408","408","408","2.343201975651056","2.343201975651056","2.343201975651056","408","408","408","3.949968550575109","3.949968550575109","3.949968550575109","408","408","408","2.641477432803831","2.641477432803831","2.641477432803831","408","408","408","2.381332021290056","2.381332021290056","2.381332021290056","408","408","408","2.3587846361611122","2.3587846361611122","2.3587846361611122"
"450","459","459","459","3.5643853663082807","3.5643853663082807","3.5643853663082807","459","459","459","2.497528606910401","2.497528606910401","2.497528606910401","459","459","459","3.8809544086868586","3.8809544086868586","3.8809544086868586","459","459","459","2.705204161892649","2.705204161892649","2.705204161892649","459","459","459","2.4734322000123137","2.4734322000123137","2.4734322000123137","459","459","459","2.4484774222909147","2.4484774222909147","2.4484774222909147"
"499","509","509","509","3.453241132101601","3.453241132101601","3.453241132101601","509","509","509","2.4467074521946106","2.4467074521946106","2.4467074521946106","509","509","509","3.853233252451982","3.853233252451982","3.853233252451982","509","509","509","2.726070583877749","2.726070583877749","2.726070583877749","509","509","509","2.4027685474736886","2.4027685474736886","2.4027685474736886","509","509","509","2.4146700472827405","2.4146700472827405","2.4146700472827405"