"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/base__MAX"
"0","0","0","0","2.7503388263246396","2.7503388263246396","2.7503388263246396","0","0","0","2.5767478371479013","2.5767478371479013","2.5767478371479013","0","0","0","2.7248402249986747","2.7248402249986747","2.7248402249986747","0","0","0","2.705532510062286","2.705532510062286","2.705532510062286","0","0","0","2.9202851035635597","2.9202851035635597","2.9202851035635597","0","0","0","2.920474068958479","2.920474068958479","2.920474068958479"
"50","51","51","51","2.3207727575463384","2.3207727575463384","2.3207727575463384","51","51","51","2.149891469546213","2.149891469546213","2.149891469546213","51","51","51","2.5157898916445216","2.5157898916445216","2.5157898916445216","51","51","51","2.39257979860508","2.39257979860508","2.39257979860508","51","51","51","2.6544233962403436","2.6544233962403436","2.6544233962403436","51","51","51","2.6513149689933386","2.6513149689933386","2.6513149689933386"
"100","102","102","102","2.4076500799076612","2.4076500799076612","2.4076500799076612","102","102","102","2.2256355995814334","2.2256355995814334","2.2256355995814334","102","102","102","2.5225230706128814","2.5225230706128814","2.5225230706128814","102","102","102","2.432677282037894","2.432677282037894","2.432677282037894","102","102","102","2.6590936823172924","2.6590936823172924","2.6590936823172924","102","102","102","2.6606220907524896","2.6606220907524896","2.6606220907524896"
"150","153","153","153","2.4336494377326767","2.4336494377326767","2.4336494377326767","153","153","153","2.2558124626402303","2.2558124626402303","2.2558124626402303","153","153","153","2.531341635334256","2.531341635334256","2.531341635334256","153","153","153","2.447465825961606","2.447465825961606","2.447465825961606","153","153","153","2.675345554929703","2.675345554929703","2.675345554929703","153","153","153","2.6754588788989677","2.6754588788989677","2.6754588788989677"
"200","204","204","204","2.447266445757819","2.447266445757819","2.447266445757819","204","204","204","2.264605894777827","2.264605894777827","2.264605894777827","204","204","204","2.5324288123945293","2.5324288123945293","2.5324288123945293","204","204","204","2.4492294536544925","2.4492294536544925","2.4492294536544925","204","204","204","2.6803463332255197","2.6803463332255197","2.6803463332255197","204","204","204","2.6808176883239527","2.6808176883239527","2.6808176883239527"
"250","255","255","255","2.4419908998039834","2.4419908998039834","2.4419908998039834","255","255","255","2.264700839007186","2.264700839007186","2.264700839007186","255","255","255","2.53222587661242","2.53222587661242","2.53222587661242","255","255","255","2.4505311482654775","2.4505311482654775","2.4505311482654775","255","255","255","2.679545204836907","2.679545204836907","2.679545204836907","255","255","255","2.6775144637561366","2.6775144637561366","2.6775144637561366"
"300","306","306","306","2.4359470740441354","2.4359470740441354","2.4359470740441354","306","306","306","2.2583413987917655","2.2583413987917655","2.2583413987917655","306","306","306","2.528513113151108","2.528513113151108","2.528513113151108","306","306","306","2.446506893938712","2.446506893938712","2.446506893938712","306","306","306","2.6721333107399445","2.6721333107399445","2.6721333107399445","306","306","306","2.671254541015526","2.671254541015526","2.671254541015526"
"350","357","357","357","2.425113442847185","2.425113442847185","2.425113442847185","357","357","357","2.2450407766867877","2.2450407766867877","2.2450407766867877","357","357","357","2.525803523694439","2.525803523694439","2.525803523694439","357","357","357","2.4413967785676487","2.4413967785676487","2.4413967785676487","357","357","357","2.6670305795704405","2.6670305795704405","2.6670305795704405","357","357","357","2.6666469033129134","2.6666469033129134","2.6666469033129134"
"400","408","408","408","2.4127600804265903","2.4127600804265903","2.4127600804265903","408","408","408","2.236304815567867","2.236304815567867","2.236304815567867","408","408","408","2.522738404114586","2.522738404114586","2.522738404114586","408","408","408","2.4364660419174835","2.4364660419174835","2.4364660419174835","408","408","408","2.658852353928005","2.658852353928005","2.658852353928005","408","408","408","2.660405600728403","2.660405600728403","2.660405600728403"
"450","459","459","459","2.4073804249128368","2.4073804249128368","2.4073804249128368","459","459","459","2.2284237951288364","2.2284237951288364","2.2284237951288364","459","459","459","2.5200190804317266","2.5200190804317266","2.5200190804317266","459","459","459","2.4321397643431664","2.4321397643431664","2.4321397643431664","459","459","459","2.654429824103972","2.654429824103972","2.654429824103972","459","459","459","2.6548661957112114","2.6548661957112114","2.6548661957112114"
"499","509","509","509","2.403810934736379","2.403810934736379","2.403810934736379","509","509","509","2.2246033664982723","2.2246033664982723","2.2246033664982723","509","509","509","2.5175923470341823","2.5175923470341823","2.5175923470341823","509","509","509","2.4293824020583226","2.4293824020583226","2.4293824020583226","509","509","509","2.6503434281038456","2.6503434281038456","2.6503434281038456","509","509","509","2.651607592228672","2.651607592228672","2.651607592228672"