"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/fict_qa_cbqa_blind_inf_ex_dedup_ds__MAX"
"0","0","0","0","6.582081923999962","6.582081923999962","6.582081923999962","0","0","0","3.4462317918698466","3.4462317918698466","3.4462317918698466","0","0","0","5.903579324817626","5.903579324817626","5.903579324817626","0","0","0","3.7294245522189517","3.7294245522189517","3.7294245522189517","0","0","0","4.0447220665467745","4.0447220665467745","4.0447220665467745","0","0","0","4.0447220665467745","4.0447220665467745","4.0447220665467745"
"50","51","51","51","5.265825833492128","5.265825833492128","5.265825833492128","51","51","51","3.660523125580334","3.660523125580334","3.660523125580334","51","51","51","5.386003847080572","5.386003847080572","5.386003847080572","51","51","51","3.692967290090635","3.692967290090635","3.692967290090635","51","51","51","4.13107230713559","4.13107230713559","4.13107230713559","51","51","51","4.129052573738912","4.129052573738912","4.129052573738912"
"100","102","102","102","4.611509980459616","4.611509980459616","4.611509980459616","102","102","102","3.1575009462881307","3.1575009462881307","3.1575009462881307","102","102","102","4.899565951724455","4.899565951724455","4.899565951724455","102","102","102","3.115987642558981","3.115987642558981","3.115987642558981","102","102","102","4.161003642765822","4.161003642765822","4.161003642765822","102","102","102","3.507216325478827","3.507216325478827","3.507216325478827"
"150","153","153","153","4.1357779662678205","4.1357779662678205","4.1357779662678205","153","153","153","2.7420034876562","2.7420034876562","2.7420034876562","153","153","153","4.786258569760285","4.786258569760285","4.786258569760285","153","153","153","2.957645405059354","2.957645405059354","2.957645405059354","153","153","153","4.151216418876243","4.151216418876243","4.151216418876243","153","153","153","3.3023750267638206","3.3023750267638206","3.3023750267638206"
"200","204","204","204","4.174627590203002","4.174627590203002","4.174627590203002","204","204","204","2.7090500701557505","2.7090500701557505","2.7090500701557505","204","204","204","4.653835368113241","4.653835368113241","4.653835368113241","204","204","204","2.7175018577413126","2.7175018577413126","2.7175018577413126","204","204","204","4.116920631462328","4.116920631462328","4.116920631462328","204","204","204","3.287132477267536","3.287132477267536","3.287132477267536"
"250","255","255","255","4.137741656642658","4.137741656642658","4.137741656642658","255","255","255","2.682303699241443","2.682303699241443","2.682303699241443","255","255","255","4.638819251803384","4.638819251803384","4.638819251803384","255","255","255","2.7596762360015954","2.7596762360015954","2.7596762360015954","255","255","255","4.219187458886302","4.219187458886302","4.219187458886302","255","255","255","3.066352919470494","3.066352919470494","3.066352919470494"
"300","306","306","306","4.318857846641729","4.318857846641729","4.318857846641729","306","306","306","2.401726669841722","2.401726669841722","2.401726669841722","306","306","306","4.524489420891908","4.524489420891908","4.524489420891908","306","306","306","2.615138443184425","2.615138443184425","2.615138443184425","306","306","306","4.217625635728848","4.217625635728848","4.217625635728848","306","306","306","3.0145432849234273","3.0145432849234273","3.0145432849234273"
"350","357","357","357","4.071531054825179","4.071531054825179","4.071531054825179","357","357","357","2.3956680286955456","2.3956680286955456","2.3956680286955456","357","357","357","4.509294155224353","4.509294155224353","4.509294155224353","357","357","357","2.5096950481875218","2.5096950481875218","2.5096950481875218","357","357","357","4.193563928668128","4.193563928668128","4.193563928668128","357","357","357","2.9396860305421124","2.9396860305421124","2.9396860305421124"
"400","408","408","408","3.9374729612442185","3.9374729612442185","3.9374729612442185","408","408","408","2.381332021290056","2.381332021290056","2.381332021290056","408","408","408","4.4935614982612515","4.4935614982612515","4.4935614982612515","408","408","408","2.520611014438005","2.520611014438005","2.520611014438005","408","408","408","4.1593836537502185","4.1593836537502185","4.1593836537502185","408","408","408","2.9163882948939195","2.9163882948939195","2.9163882948939195"
"450","459","459","459","3.976122490600321","3.976122490600321","3.976122490600321","459","459","459","2.4734322000123137","2.4734322000123137","2.4734322000123137","459","459","459","4.454517073585739","4.454517073585739","4.454517073585739","459","459","459","2.579316612534294","2.579316612534294","2.579316612534294","459","459","459","4.158914312592687","4.158914312592687","4.158914312592687","459","459","459","2.9540247738322094","2.9540247738322094","2.9540247738322094"
"499","509","509","509","3.9802817312389496","3.9802817312389496","3.9802817312389496","509","509","509","2.4027685474736886","2.4027685474736886","2.4027685474736886","509","509","509","4.447964415248675","4.447964415248675","4.447964415248675","509","509","509","2.5911046516920817","2.5911046516920817","2.5911046516920817","509","509","509","4.145346757657679","4.145346757657679","4.145346757657679","509","509","509","2.9186315923261703","2.9186315923261703","2.9186315923261703"